Año,Asignatura,Porcentaje_Aprobados
2000,Matemática I,0.4651
2000,Algorítmica II,0.4206
2000,Herramientas de Desarrollo II,0.7531
2000,Algorítmica I,0.593
2000,Matemática II,0.4074
2000,Arquitectura del Computador,0.5853
2000,Herramientas de Desarrollo I,0.655
2000,Contabilidad I,0.593
2000,Ofimatica,0.6395
2000,Contabilidad II,0.5062
2000,Software Contable,0.642
2000,Diseño Gráfico,0.9259
2001,Herramientas de Desarrollo III,0.7412
2001,Ofimatica,0.671
2001,Algorítmica II,0.6438
2001,Contabilidad II,0.6575
2001,Software Contable,0.7877
2001,Herramientas de Desarrollo II,0.6849
2001,Algorítmica I,0.4365
2001,Diseño de Páginas Web,0.8387
2001,Diseño Gráfico,0.8014
2001,Herramientas de Desarrollo IV,0.8065
2001,Análisis y Diseño de Sist. de Inf. II,0.7742
2001,Base de Datos II,0.9032
2001,Matemática III,0.5882
2001,Administración y Liderazgo,1
2001,Contabilidad I,0.4202
2001,Arquitectura del Computador,0.5114
2001,Herramientas de Desarrollo I,0.5928
2001,Análisis y Diseño de Sist. de Inf. I,0.7882
2001,Matemática I,0.355
2001,Base de Datos I,0.7059
2001,Redes y Conectividad,0.7176
2001,Matemática II,0.5274
2002,Diseño Gráfico,0.7687
2002,Contabilidad II,0.7551
2002,Matemática III,0.7865
2002,Redes y Conectividad,0.8652
2002,Sistemas Distribuidos,0.7451
2002,Administración y Liderazgo,0.8929
2002,Desarrollo de Software,0.451
2002,Base de Datos I,0.4494
2002,Contabilidad I,0.5364
2002,Formulacion y Evaluacion de Proyectos,0.9412
2002,Ofimatica,0.6954
2002,Base de Datos II,0.5357
2002,Análisis y Diseño de Sist. de Inf. I,0.8539
2002,Algorítmica II,0.6395
2002,Herramientas de Desarrollo II,0.6939
2002,Comercio Electronico,0.6667
2002,Matemática I,0.4934
2002,Herramientas de Desarrollo III,0.7753
2002,Análisis y Diseño de Sist. de Inf. II,0.75
2002,Arquitectura del Computador,0.5993
2002,Herramientas de Desarrollo I,0.6391
2002,Diseño de Páginas Web,0.8095
2002,Matemática II,0.6122
2002,Software Contable,0.7755
2002,Herramientas de Desarrollo IV,0.6667
2002,Administración de Centros de Computo,0.8824
2002,Algorítmica I,0.5861
2003,Diseño de Páginas Web,0.8028
2003,Diseño Gráfico,0.7701
2003,Matemática II,0.5862
2003,Ofimatica,0.6868
2003,Redes y Conectividad,0.8224
2003,Software Contable,0.7356
2003,Herramientas de Desarrollo III,0.7009
2003,Herramientas de Desarrollo I,0.6085
2003,Administración de Centros de Computo,0.8406
2003,Desarrollo de Software,0.5797
2003,Base de Datos II,0.7042
2003,Matemática I,0.5694
2003,Sistemas Distribuidos,0.7971
