Semestre,Modulo,Turno,Seccion,IdDocente,Asistencia
2012 - III,Mod - II,Noche,A,119,Puntual
2012 - III,Mod - III,Noche,A,85,Tarde
2012 - III,Mod - IV,Noche,A,37,Tarde
2012 - III,Mod - V,Mañana,A,37,Tarde
2012 - III,Mod - I,Mañana,B,27,Tarde
2012 - III,Mod - I,Mañana,A,3,Puntual
2012 - III,Mod - II,Mañana,A,40,Puntual
2012 - III,Mod - III,Mañana,A,107,Tarde
2012 - III,Mod - IV,Mañana,A,26,Tarde
2012 - III,Mod - V,Mañana,A,45,Tarde
2012 - III,Mod - V,Mañana,A,26,Tarde
2012 - III,Mod - IV,Mañana,A,55,Puntual
2012 - III,Mod - II,Mañana,B,45,Tarde
2012 - III,Mod - II,Mañana,A,8,Puntual
2012 - III,Mod - II,Mañana,C,40,Tarde
2012 - III,Mod - III,Mañana,A,11,Tarde
2012 - III,Mod - III,Mañana,C,107,Tarde
2012 - III,Mod - I,Mañana,A,44,Puntual
2012 - III,Mod - I,Mañana,B,3,Tarde
2012 - III,Mod - I,Mañana,A,120,Tarde
2012 - III,Mod - I,Mañana,C,55,Tarde
2012 - III,Mod - I,Mañana,D,54,Puntual
2012 - III,Mod - II,Mañana,A,3,Tarde
2012 - III,Mod - II,Mañana,B,40,Tarde
2012 - III,Mod - II,Mañana,C,56,Tarde
2012 - III,Mod - IV,Mañana,A,37,Tarde
2012 - III,Mod - III,Mañana,A,107,Tarde
2012 - III,Mod - V,Mañana,A,26,Tarde
2012 - III,Mod - IV,Mañana,C,8,Puntual
2012 - III,Mod - II,Mañana,C,40,Tarde
2012 - III,Mod - III,Mañana,C,26,Tarde
2012 - III,Mod - I,Mañana,D,3,Tarde
2012 - III,Mod - I,Mañana,C,44,Tarde
2012 - III,Mod - I,Mañana,C,58,Tarde
2012 - III,Mod - I,Tarde,A,55,Tarde
2012 - III,Mod - I,Tarde,B,112,Puntual
2012 - III,Mod - III,Tarde,A,56,Tarde
2012 - III,Mod - II,Tarde,A,40,Tarde
2012 - III,Mod - IV,Tarde,A,116,Falto
2012 - III,Mod - IV,Tarde,A,56,Tarde
2012 - III,Mod - III,Tarde,A,11,Tarde
